Litter type,Block,Plot,Position,Months,Percent Mass remaining
turkey oak,A,1,Buried,6,89.98
turkey oak,A,2,Buried,6,77.75
turkey oak,A,3,Buried,6,77.17
turkey oak,A,4,Buried,6,91.68
turkey oak,A,5,Buried,6,74.39
turkey oak,A,6,Buried,6,66.37
turkey oak,A,7,Buried,6,65.69
turkey oak,A,8,Buried,6,92.07
turkey oak,A,9,Buried,6,47.03
turkey oak,A,10,Buried,6,83.94
turkey oak,A,10,Buried,6,95.28
,,,,,
turkey oak,B,1,Buried,6,92.33
turkey oak,B,2,Buried,6,70.51
turkey oak,B,3,Buried,6,73.47
turkey oak,B,4,Buried,6,83.33
turkey oak,B,5,Buried,6,55.41
turkey oak,B,6,Buried,6,43.42
turkey oak,B,7,Buried,6,72.38
turkey oak,B,8,Buried,6,73.33
turkey oak,B,10,Buried,6,92.78
turkey oak,B,11,Buried,6,90.41
turkey oak,B,11,Buried,6,95.43
turkey oak,B,12,Buried,6,88.18
,,,,,
turkey oak,C,1,Buried,6,88.97
turkey oak,C,2,Buried,6,76.02
turkey oak,C,3,Buried,6,59.79
turkey oak,C,4,Buried,6,83.97
turkey oak,C,7,Buried,6,85.05
turkey oak,C,8,Buried,6,63.48
turkey oak,C,10,Buried,6,52.22
turkey oak,C,11,Buried,6,67.93
turkey oak,C,12,Buried,6,69
,,,,,
,,,,,
turkey oak,A,1,Buried,12,17.65
turkey oak,A,2,Buried,12,42.86
turkey oak,A,3,Buried,12,74.22
turkey oak,A,4,Buried,12,46.44
turkey oak,A,5,Buried,12,49.61
turkey oak,A,6,Buried,12,71.48
turkey oak,A,7,Buried,12,39.62
turkey oak,A,8,Buried,12,52.81
turkey oak,A,9,Buried,12,13.31
turkey oak,A,11,Buried,12,45.93
turkey oak,A,12,Buried,12,19.89
,,,,,
turkey oak,B,1,Buried,12,56.82
turkey oak,B,2,Buried,12,46.72
turkey oak,B,3,Buried,12,28.11
turkey oak,B,4,Buried,12,68.14
turkey oak,B,7,Buried,12,15.87
turkey oak,B,8,Buried,12,23.47
turkey oak,B,9,Buried,12,18.93
turkey oak,B,10,Buried,12,68.39
turkey oak,B,11,Buried,12,39.71
turkey oak,B,11,Buried,12,44.11
turkey oak,B,12,Buried,12,36.46
,,,,,
turkey oak,C,1,Buried,12,58.01
turkey oak,C,2,Buried,12,46.36
turkey oak,C,3,Buried,12,44.44
turkey oak,C,5,Buried,12,52.12
turkey oak,C,5,Buried,12,57.76
turkey oak,C,5,Buried,12,84.26
turkey oak,C,6,Buried,12,27.37
turkey oak,C,7,Buried,12,55.17
turkey oak,C,8,Buried,12,57.94
turkey oak,C,9,Buried,12,35.63
turkey oak,C,10,Buried,12,35.45
turkey oak,C,11,Buried,12,37.17
turkey oak,C,12,Buried,12,27.87
,,,,,
,,,,,
turkey oak,A,1,Buried,18,32.81
turkey oak,A,2,Buried,18,18.87
turkey oak,A,4,Buried,18,28.22
turkey oak,A,7,Buried,18,19.01
turkey oak,A,8,Buried,18,47.71
turkey oak,A,9,Buried,18,8.24
turkey oak,A,10,Buried,18,50.97
turkey oak,A,11,Buried,18,18.89
turkey oak,A,12,Buried,18,23.58
,,,,,
turkey oak,B,1,Buried,18,9.73
turkey oak,B,2,Buried,18,19.19
turkey oak,B,3,Buried,18,35.34
turkey oak,B,4,Buried,18,24.89
turkey oak,B,5,Buried,18,52.99
turkey oak,B,6,Buried,18,26.05
turkey oak,B,7,Buried,18,1.06
turkey oak,B,8,Buried,18,5.91
turkey oak,B,9,Buried,18,7.86
turkey oak,B,10,Buried,18,39.94
turkey oak,B,11,Buried,18,31.7
turkey oak,B,12,Buried,18,46.17
,,,,,
turkey oak,C,1,Buried,18,23.5
turkey oak,C,2,Buried,18,9.22
turkey oak,C,3,Buried,18,38.12
turkey oak,C,4,Buried,18,48
turkey oak,C,6,Buried,18,34.74
turkey oak,C,7,Buried,18,11.6
turkey oak,C,8,Buried,18,21.44
turkey oak,C,9,Buried,18,19.09
turkey oak,C,10,Buried,18,16.41
turkey oak,C,11,Buried,18,38.22
turkey oak,C,12,Buried,18,23.56
,,,,,
,,,,,
turkey oak,A,1,Buried,24,12.06
turkey oak,A,3,Buried,24,21.28
turkey oak,A,4,Buried,24,26.09
turkey oak,A,5,Buried,24,26.67
turkey oak,A,6,Buried,24,15.97
turkey oak,A,7,Buried,24,24.68
turkey oak,A,8,Buried,24,38.49
turkey oak,A,9,Buried,24,21.88
turkey oak,A,11,Buried,24,19.92
turkey oak,A,12,Buried,24,21.33
,,,,,
turkey oak,B,1,Buried,24,23.83
turkey oak,B,2,Buried,24,19.76
turkey oak,B,4,Buried,24,37.82
turkey oak,B,5,Buried,24,38.84
turkey oak,B,6,Buried,24,20.9
turkey oak,B,7,Buried,24,35.97
turkey oak,B,8,Buried,24,6.7
turkey oak,B,9,Buried,24,10.35
turkey oak,B,10,Buried,24,25.56
turkey oak,B,10,Buried,24,39.13
,,,,,
turkey oak,C,1,Buried,24,13.66
turkey oak,C,2,Buried,24,21.94
turkey oak,C,3,Buried,24,33.89
turkey oak,C,4,Buried,24,22.85
turkey oak,C,5,Buried,24,25.12
turkey oak,C,6,Buried,24,21.65
turkey oak,C,7,Buried,24,16.1
turkey oak,C,8,Buried,24,32.11
turkey oak,C,9,Buried,24,17.01
turkey oak,C,10,Buried,24,13.9
turkey oak,C,11,Buried,24,14.99
turkey oak,C,12,Buried,24,12.41
,,,,,
,,,,,
turkey oak,A,3,Buried,36,23
turkey oak,A,4,Buried,36,54.08
turkey oak,A,5,Buried,36,14.98
turkey oak,A,6,Buried,36,17.69
turkey oak,A,8,Buried,36,17.24
turkey oak,A,9,Buried,36,24.04
turkey oak,A,11,Buried,36,16.81
turkey oak,A,12,Buried,36,26.14
,,,,,
turkey oak,B,4,Buried,36,9.61
turkey oak,B,6,Buried,36,19.13
turkey oak,B,7,Buried,36,19.37
turkey oak,B,8,Buried,36,8.3
turkey oak,B,9,Buried,36,16.26
turkey oak,B,11,Buried,36,15.81
turkey oak,B,11,Buried,36,16.92
turkey oak,B,12,Buried,36,23.4
,,,,,
turkey oak,C,1,Buried,36,11.81
turkey oak,C,3,Buried,36,8.63
turkey oak,C,4,Buried,36,18.85
turkey oak,C,5,Buried,36,25.1
turkey oak,C,7,Buried,36,1.63
turkey oak,C,11,Buried,36,8.76
turkey oak,C,12,Buried,36,13.67
,,,,,
,,,,,
turkey oak,A,4,Buried,48,17.98
turkey oak,A,6,Buried,48,18.22
turkey oak,A,6,Buried,48,24.04
turkey oak,A,7,Buried,48,17.84
turkey oak,A,8,Buried,48,19.94
turkey oak,A,9,Buried,48,11.94
,,,,,
turkey oak,B,2,Buried,48,21.12
turkey oak,B,5,Buried,48,22.62
turkey oak,B,7,Buried,48,6.25
turkey oak,B,8,Buried,48,12.22
turkey oak,B,9,Buried,48,18.02
turkey oak,B,12,Buried,48,16.08
,,,,,
turkey oak,C,2,Buried,48,11.19
turkey oak,C,3,Buried,48,12.75
turkey oak,C,4,Buried,48,20.43
turkey oak,C,5,Buried,48,25.33
turkey oak,C,7,Buried,48,40.35
turkey oak,C,11,Buried,48,16.09
,,,,,
turkey oak,A,1,Surface,6,90.14
turkey oak,A,2,Surface,6,80.77
turkey oak,A,3,Surface,6,94.11
turkey oak,A,4,Surface,6,94.21
turkey oak,A,5,Surface,6,87.7
turkey oak,A,6,Surface,6,89.93
turkey oak,A,7,Surface,6,93.13
turkey oak,A,8,Surface,6,93.27
turkey oak,A,9,Surface,6,94.6
turkey oak,A,10,Surface,6,89.84
turkey oak,A,10,Surface,6,90.11
turkey oak,A,11,Surface,6,92.06
,,,,,
turkey oak,B,1,Surface,6,87.83
turkey oak,B,2,Surface,6,89.93
turkey oak,B,3,Surface,6,92.39
turkey oak,B,4,Surface,6,88.63
turkey oak,B,5,Surface,6,92.78
turkey oak,B,6,Surface,6,95.18
turkey oak,B,7,Surface,6,88.98
turkey oak,B,8,Surface,6,92.16
turkey oak,B,10,Surface,6,87.64
turkey oak,B,11,Surface,6,88.8
turkey oak,B,11,Surface,6,95.76
turkey oak,B,12,Surface,6,90.94
,,,,,
turkey oak,C,1,Surface,6,93.01
turkey oak,C,2,Surface,6,88.4
turkey oak,C,3,Surface,6,91.72
turkey oak,C,4,Surface,6,88.71
turkey oak,C,4,Surface,6,90.52
turkey oak,C,6,Surface,6,92.72
turkey oak,C,6,Surface,6,96.77
turkey oak,C,7,Surface,6,94.43
turkey oak,C,8,Surface,6,96.98
turkey oak,C,9,Surface,6,90.28
turkey oak,C,10,Surface,6,85.43
turkey oak,C,11,Surface,6,99.37
turkey oak,C,12,Surface,6,91.71
,,,,,
,,,,,
turkey oak,A,1,Surface,12,79.65
turkey oak,A,2,Surface,12,84.62
turkey oak,A,4,Surface,12,82.72
turkey oak,A,5,Surface,12,82.84
turkey oak,A,6,Surface,12,82.07
turkey oak,A,7,Surface,12,82.65
turkey oak,A,8,Surface,12,85.05
turkey oak,A,9,Surface,12,46.01
turkey oak,A,9,Surface,12,81.51
turkey oak,A,11,Surface,12,79.62
turkey oak,A,12,Surface,12,82.26
turkey oak,A,12,Surface,12,86.8
,,,,,
turkey oak,B,1,Surface,12,81.54
turkey oak,B,2,Surface,12,88.24
turkey oak,B,3,Surface,12,85.25
turkey oak,B,4,Surface,12,80.82
turkey oak,B,5,Surface,12,78.61
turkey oak,B,6,Surface,12,84.67
