LitterType,Block,Plot,Position,Months,Percent P mass remaining
,,,,,
turkey oak,A,1,Buried,6,122.97
turkey oak,A,2,Buried,6,25.92
turkey oak,A,3,Buried,6,54.02
turkey oak,A,4,Buried,6,55.01
turkey oak,A,5,Buried,6,158.7
turkey oak,A,6,Buried,6,39.82
turkey oak,A,7,Buried,6,35.04
turkey oak,A,8,Buried,6,116.62
turkey oak,A,9,Buried,6,58
turkey oak,A,10,Buried,6,31.76
turkey oak,A,10,Buried,6,50.36
,,,,,
turkey oak,B,2,Buried,6,49.36
turkey oak,B,3,Buried,6,66.12
turkey oak,B,4,Buried,6,33.33
turkey oak,B,5,Buried,6,25.86
turkey oak,B,6,Buried,6,53.56
turkey oak,B,7,Buried,6,62.73
turkey oak,B,10,Buried,6,40.2
turkey oak,B,11,Buried,6,85.89
turkey oak,B,12,Buried,6,76.42
,,,,,
turkey oak,C,1,Buried,6,169.05
turkey oak,C,2,Buried,6,63.35
turkey oak,C,3,Buried,6,65.77
turkey oak,C,4,Buried,6,53.18
turkey oak,C,7,Buried,6,70.87
turkey oak,C,8,Buried,6,50.79
turkey oak,C,10,Buried,6,67.89
turkey oak,C,11,Buried,6,104.16
turkey oak,C,12,Buried,6,41.4
,,,,,
,,,,,
turkey oak,A,1,Buried,12,27.07
turkey oak,A,2,Buried,12,32.86
turkey oak,A,3,Buried,12,37.11
turkey oak,A,4,Buried,12,38.7
turkey oak,A,5,Buried,12,95.91
turkey oak,A,6,Buried,12,61.95
turkey oak,A,7,Buried,12,46.23
turkey oak,A,8,Buried,12,66.9
turkey oak,A,9,Buried,12,20.41
turkey oak,A,11,Buried,12,18.37
turkey oak,A,12,Buried,12,14.58
,,,,,
turkey oak,B,1,Buried,12,64.39
turkey oak,B,2,Buried,12,77.87
turkey oak,B,3,Buried,12,46.84
turkey oak,B,4,Buried,12,34.07
turkey oak,B,8,Buried,12,61.03
turkey oak,B,10,Buried,12,143.61
turkey oak,B,11,Buried,12,27.79
turkey oak,B,11,Buried,12,74.99
turkey oak,B,12,Buried,12,41.32
,,,,,
turkey oak,C,1,Buried,12,65.75
turkey oak,C,2,Buried,12,52.54
turkey oak,C,3,Buried,12,84.43
turkey oak,C,5,Buried,12,65.46
turkey oak,C,5,Buried,12,73.03
turkey oak,C,5,Buried,12,74.71
turkey oak,C,6,Buried,12,16.42
turkey oak,C,7,Buried,12,29.42
turkey oak,C,8,Buried,12,50.21
turkey oak,C,10,Buried,12,47.27
turkey oak,C,12,Buried,12,17.65
,,,,,
,,,,,
,,,,,
turkey oak,A,1,Buried,18,26.25
turkey oak,A,2,Buried,18,14.46
turkey oak,A,4,Buried,18,47.04
turkey oak,A,7,Buried,18,23.44
turkey oak,A,8,Buried,18,42.94
turkey oak,A,10,Buried,18,69.65
turkey oak,A,11,Buried,18,15.11
turkey oak,A,12,Buried,18,18.86
,,,,,
turkey oak,B,2,Buried,18,37.09
turkey oak,B,3,Buried,18,28.27
turkey oak,B,5,Buried,18,42.39
turkey oak,B,6,Buried,18,24.31
turkey oak,B,11,Buried,18,34.87
turkey oak,B,12,Buried,18,20.01
,,,,,
turkey oak,C,1,Buried,18,29.76
turkey oak,C,3,Buried,18,21.6
turkey oak,C,4,Buried,18,64
turkey oak,C,6,Buried,18,32.42
turkey oak,C,7,Buried,18,14.69
turkey oak,C,8,Buried,18,26.45
turkey oak,C,9,Buried,18,29.91
turkey oak,C,10,Buried,18,31.18
turkey oak,C,11,Buried,18,49.68
turkey oak,C,12,Buried,18,23.56
,,,,,
,,,,,
turkey oak,A,1,Buried,24,15.27
turkey oak,A,3,Buried,24,34.05
turkey oak,A,4,Buried,24,35.66
turkey oak,A,5,Buried,24,29.33
turkey oak,A,6,Buried,24,18.63
turkey oak,A,7,Buried,24,27.15
turkey oak,A,8,Buried,24,50.04
turkey oak,A,9,Buried,24,41.56
turkey oak,A,11,Buried,24,17.93
turkey oak,A,12,Buried,24,13.51
,,,,,
turkey oak,B,1,Buried,24,19.86
turkey oak,B,2,Buried,24,21.73
turkey oak,B,4,Buried,24,37.82
turkey oak,B,5,Buried,24,42.73
turkey oak,B,6,Buried,24,25.78
turkey oak,B,7,Buried,24,45.56
turkey oak,B,10,Buried,24,21.3
turkey oak,B,10,Buried,24,70.44
,,,,,
turkey oak,C,2,Buried,24,27.79
turkey oak,C,3,Buried,24,29.37
turkey oak,C,5,Buried,24,25.12
turkey oak,C,6,Buried,24,28.15
turkey oak,C,8,Buried,24,20.33
turkey oak,C,9,Buried,24,23.24
turkey oak,C,10,Buried,24,13.44
turkey oak,C,11,Buried,24,12.99
,,,,,
,,,,,
turkey oak,A,3,Buried,36,22.23
turkey oak,A,4,Buried,36,59.49
turkey oak,A,6,Buried,36,28.9
turkey oak,A,9,Buried,36,14.42
turkey oak,A,11,Buried,36,16.81
turkey oak,A,12,Buried,36,32.23
,,,,,
turkey oak,B,6,Buried,36,25.51
turkey oak,B,7,Buried,36,23.89
turkey oak,B,9,Buried,36,15.18
turkey oak,B,11,Buried,36,18.05
turkey oak,B,11,Buried,36,20.03
turkey oak,B,12,Buried,36,20.28
,,,,,
turkey oak,C,1,Buried,36,22.43
turkey oak,C,4,Buried,36,32.68
turkey oak,C,12,Buried,36,16.86
,,,,,
,,,,,
