Litter type,Block,Plot,Position,Months,Percent N mass remaining
turkey oak,A,1,Buried,6,107.15
turkey oak,A,2,Buried,6,104.86
turkey oak,A,3,Buried,6,90.56
turkey oak,A,4,Buried,6,78.92
turkey oak,A,5,Buried,6,110.78
turkey oak,A,6,Buried,6,76.94
turkey oak,A,7,Buried,6,82
turkey oak,A,8,Buried,6,108.31
turkey oak,A,9,Buried,6,57.42
turkey oak,A,10,Buried,6,86.94
turkey oak,A,10,Buried,6,97.55
,,,,,
turkey oak,B,1,Buried,6,92.59
turkey oak,B,2,Buried,6,97.93
turkey oak,B,3,Buried,6,101.08
turkey oak,B,4,Buried,6,127.33
turkey oak,B,5,Buried,6,74.17
turkey oak,B,6,Buried,6,64.92
turkey oak,B,7,Buried,6,84.74
turkey oak,B,8,Buried,6,108.15
turkey oak,B,10,Buried,6,137.24
turkey oak,B,11,Buried,6,104.68
turkey oak,B,11,Buried,6,106.52
turkey oak,B,12,Buried,6,103.61
,,,,,
turkey oak,C,1,Buried,6,119.48
turkey oak,C,2,Buried,6,117.9
turkey oak,C,3,Buried,6,80.47
turkey oak,C,4,Buried,6,98.9
turkey oak,C,7,Buried,6,104.45
turkey oak,C,8,Buried,6,80.61
turkey oak,C,10,Buried,6,71.03
turkey oak,C,11,Buried,6,89.76
turkey oak,C,12,Buried,6,79.98
,,,,,
,,,,,
turkey oak,A,1,Buried,12,26.26
turkey oak,A,2,Buried,12,64.57
turkey oak,A,3,Buried,12,101.59
turkey oak,A,4,Buried,12,79.35
turkey oak,A,5,Buried,12,84.2
turkey oak,A,6,Buried,12,88.5
turkey oak,A,7,Buried,12,68.28
turkey oak,A,8,Buried,12,66.75
turkey oak,A,9,Buried,12,19.77
turkey oak,A,11,Buried,12,79.4
turkey oak,A,12,Buried,12,28.68
,,,,,
turkey oak,B,1,Buried,12,90.73
turkey oak,B,2,Buried,12,82.71
turkey oak,B,3,Buried,12,51.05
turkey oak,B,4,Buried,12,106.86
turkey oak,B,7,Buried,12,19.78
turkey oak,B,8,Buried,12,68.03
turkey oak,B,9,Buried,12,25.18
turkey oak,B,10,Buried,12,192.9
turkey oak,B,11,Buried,12,51.04
turkey oak,B,11,Buried,12,75.7
turkey oak,B,12,Buried,12,58.28
,,,,,
turkey oak,C,1,Buried,12,108.45
turkey oak,C,2,Buried,12,69.9
turkey oak,C,3,Buried,12,83.78
turkey oak,C,5,Buried,12,82.95
turkey oak,C,5,Buried,12,97.07
turkey oak,C,5,Buried,12,126.09
turkey oak,C,6,Buried,12,39.15
turkey oak,C,7,Buried,12,80.1
turkey oak,C,8,Buried,12,76.56
turkey oak,C,9,Buried,12,41.92
turkey oak,C,10,Buried,12,50.25
turkey oak,C,11,Buried,12,49.22
turkey oak,C,12,Buried,12,37.5
,,,,,
,,,,,
turkey oak,A,1,Buried,18,40.58
turkey oak,A,2,Buried,18,30.4
turkey oak,A,4,Buried,18,48.55
turkey oak,A,7,Buried,18,27.16
turkey oak,A,8,Buried,18,78.93
turkey oak,A,9,Buried,18,13.17
turkey oak,A,10,Buried,18,92.06
turkey oak,A,11,Buried,18,28.16
turkey oak,A,12,Buried,18,30
,,,,,
turkey oak,B,1,Buried,18,11
turkey oak,B,2,Buried,18,40.05
turkey oak,B,3,Buried,18,63.93
turkey oak,B,4,Buried,18,38.29
turkey oak,B,5,Buried,18,75.26
turkey oak,B,6,Buried,18,39.17
turkey oak,B,7,Buried,18,1.22
turkey oak,B,8,Buried,18,11.85
turkey oak,B,9,Buried,18,13.39
turkey oak,B,10,Buried,18,50.71
turkey oak,B,11,Buried,18,56.53
turkey oak,B,12,Buried,18,75.26
,,,,,
turkey oak,C,1,Buried,18,37.59
turkey oak,C,2,Buried,18,9.16
turkey oak,C,3,Buried,18,43.97
turkey oak,C,4,Buried,18,64.73
turkey oak,C,6,Buried,18,54.67
turkey oak,C,7,Buried,18,20.39
turkey oak,C,8,Buried,18,29.78
turkey oak,C,9,Buried,18,32.37
turkey oak,C,10,Buried,18,29.74
turkey oak,C,11,Buried,18,65.19
turkey oak,C,12,Buried,18,29.61
,,,,,
,,,,,
turkey oak,A,1,Buried,24,14.11
turkey oak,A,3,Buried,24,37.7
turkey oak,A,4,Buried,24,45.44
turkey oak,A,5,Buried,24,40.9
turkey oak,A,6,Buried,24,23.91
turkey oak,A,7,Buried,24,33.18
turkey oak,A,8,Buried,24,70.25
turkey oak,A,9,Buried,24,29.31
turkey oak,A,11,Buried,24,27.27
turkey oak,A,12,Buried,24,25
,,,,,
turkey oak,B,1,Buried,24,29.51
turkey oak,B,2,Buried,24,23.44
turkey oak,B,4,Buried,24,63.87
turkey oak,B,5,Buried,24,60.97
turkey oak,B,6,Buried,24,17.73
turkey oak,B,7,Buried,24,53.98
turkey oak,B,8,Buried,24,3.48
turkey oak,B,9,Buried,24,6.94
turkey oak,B,10,Buried,24,30.59
turkey oak,B,10,Buried,24,74.11
,,,,,
turkey oak,C,1,Buried,24,16.93
turkey oak,C,2,Buried,24,29.46
turkey oak,C,3,Buried,24,37.3
turkey oak,C,4,Buried,24,17.7
turkey oak,C,5,Buried,24,38.52
turkey oak,C,6,Buried,24,26.59
turkey oak,C,7,Buried,24,9.54
