Percent mass remaining in Litterbags ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percent nitrogen mass remaining in litterbags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percent phosphorus mass remaining in litterbags ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litter type,Block,Plot,Position,Months,Percent Mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent Mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent Mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent Mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent Mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent Mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent N mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent N mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent N mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent N mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent N mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent N mass remaining,,,,LitterType,Block,Plot,Position ,Months,Percent P mass remaining,,,,LitterType,Block,Plot,Position ,Months,Percent P mass remaining,,,,Litter Type,Block,Plot,Position ,Months,Percent P remaining,,,,Litter Type,Block,Plot,Position ,Months,Percent P remaining,,,,Litter type,Block,Plot,Position,Months,Percent P mass remaining,,,,Litter type,,Block,Plot,Position,Months,,Percent P mass remaining
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turkey oak,A,1,Buried,6,89.98,,,,turkey oak,A,1,Surface,6,90.14,,,,pine,A,1,Buried,6,81.14,,,,pine,A,1,Surface,6,93,,,,Mixed,A,1,Buried,6,72.71,,,,Mixed,A,1,Surface,6,84.31,,,,turkey oak,A,1,Buried,6,107.15,,,,turkey oak,A,1,Surface,6,110.58,,,,pine,A,1,Buried,6,118.36,,,,pine,A,1,Surface,6,121.88,,,,Mixed,A,1,Buried,6,69.41,,,,Mixed,A,1,Surface,6,86.21,,,,turkey oak,A,1,Buried,6,122.97,,,,turkey oak,A,2,Surface,6,26.92,,,,pine,A,1,Buried,6,66.39,,,,pine,A,1,Surface,6,59.18,,,,Mixed,A,1,Buried,6,55.51,,,,Mixed,,A,1,Surface,6,,69.72
turkey oak,A,2,Buried,6,77.75,,,,turkey oak,A,2,Surface,6,80.77,,,,pine,A,2,Buried,6,85.16,,,,pine,A,2,Surface,6,74.46,,,,Mixed,A,2,Buried,6,76.17,,,,Mixed,A,2,Surface,6,83.27,,,,turkey oak,A,2,Buried,6,104.86,,,,turkey oak,A,2,Surface,6,94.91,,,,pine,A,2,Buried,6,112.33,,,,pine,A,2,Surface,6,72.94,,,,Mixed,A,2,Buried,6,73.75,,,,Mixed,A,2,Surface,6,67.44,,,,turkey oak,A,2,Buried,6,25.92,,,,turkey oak,A,3,Surface,6,62.74,,,,pine,A,2,Buried,6,119.99,,,,pine,A,2,Surface,6,50.77,,,,Mixed,A,2,Buried,6,63.37,,,,Mixed,,A,2,Surface,6,,124.01
turkey oak,A,3,Buried,6,77.17,,,,turkey oak,A,3,Surface,6,94.11,,,,pine,A,3,Buried,6,85.24,,,,pine,A,2,Surface,6,94.48,,,,Mixed,A,3,Buried,6,67.47,,,,Mixed,A,3,Surface,6,80.15,,,,turkey oak,A,3,Buried,6,90.56,,,,turkey oak,A,3,Surface,6,100.05,,,,pine,A,3,Buried,6,122.64,,,,pine,A,2,Surface,6,74.25,,,,Mixed,A,3,Buried,6,89.42,,,,Mixed,A,3,Surface,6,96.34,,,,turkey oak,A,3,Buried,6,54.02,,,,turkey oak,A,4,Surface,6,81.65,,,,pine,A,3,Buried,6,81.36,,,,pine,A,3,Surface,6,74.86,,,,Mixed,A,3,Buried,6,80.54,,,,Mixed,,A,3,Surface,6,,51.56
turkey oak,A,4,Buried,6,91.68,,,,turkey oak,A,4,Surface,6,94.21,,,,pine,A,4,Buried,6,69.83,,,,pine,A,3,Surface,6,91.5,,,,Mixed,A,4,Buried,6,73.96,,,,Mixed,A,4,Surface,6,82.93,,,,turkey oak,A,4,Buried,6,78.92,,,,turkey oak,A,4,Surface,6,99.89,,,,pine,A,4,Buried,6,90.52,,,,pine,A,3,Surface,6,106.62,,,,Mixed,A,4,Buried,6,99.56,,,,Mixed,A,4,Surface,6,101.56,,,,turkey oak,A,4,Buried,6,55.01,,,,turkey oak,A,5,Surface,6,35.08,,,,pine,A,4,Buried,6,50.79,,,,pine,A,5,Surface,6,75.12,,,,Mixed,A,4,Buried,6,146.97,,,,Mixed,,A,5,Surface,6,,39.03
turkey oak,A,5,Buried,6,74.39,,,,turkey oak,A,5,Surface,6,87.7,,,,pine,A,5,Buried,6,79.71,,,,pine,A,4,Surface,6,91.61,,,,Mixed,A,6,Buried,6,68.31,,,,Mixed,A,5,Surface,6,85.88,,,,turkey oak,A,5,Buried,6,110.78,,,,turkey oak,A,5,Surface,6,87.45,,,,pine,A,5,Buried,6,92.43,,,,pine,A,4,Surface,6,92.39,,,,Mixed,A,6,Buried,6,64.02,,,,Mixed,A,5,Surface,6,69.53,,,,turkey oak,A,5,Buried,6,158.7,,,,turkey oak,A,6,Surface,6,29.98,,,,pine,A,5,Buried,6,94.2,,,,pine,A,6,Surface,6,107.15,,,,Mixed,A,6,Buried,6,106.93,,,,Mixed,,A,7,Surface,6,,97.66
turkey oak,A,6,Buried,6,66.37,,,,turkey oak,A,6,Surface,6,89.93,,,,pine,A,6,Buried,6,75.45,,,,pine,A,5,Surface,6,91.81,,,,Mixed,A,7,Buried,6,64.61,,,,Mixed,A,6,Surface,6,85.42,,,,turkey oak,A,6,Buried,6,76.94,,,,turkey oak,A,6,Surface,6,97.67,,,,pine,A,6,Buried,6,97.37,,,,pine,A,5,Surface,6,107.24,,,,Mixed,A,7,Buried,6,87.48,,,,Mixed,A,6,Surface,6,92.98,,,,turkey oak,A,6,Buried,6,39.82,,,,turkey oak,A,7,Surface,6,83.81,,,,pine,A,6,Buried,6,144.03,,,,pine,A,7,Surface,6,78.5,,,,Mixed,A,7,Buried,6,114.9,,,,Mixed,,A,9,Surface,6,,272.59
turkey oak,A,7,Buried,6,65.69,,,,turkey oak,A,7,Surface,6,93.13,,,,pine,A,7,Buried,6,83.25,,,,pine,A,6,Surface,6,90.67,,,,Mixed,A,8,Buried,6,56.08,,,,Mixed,A,7,Surface,6,80.99,,,,turkey oak,A,7,Buried,6,82,,,,turkey oak,A,7,Surface,6,101.68,,,,pine,A,7,Buried,6,109.81,,,,pine,A,6,Surface,6,104.61,,,,Mixed,A,8,Buried,6,63.43,,,,Mixed,A,7,Surface,6,77.59,,,,turkey oak,A,7,Buried,6,35.04,,,,turkey oak,A,8,Surface,6,52.85,,,,pine,A,7,Buried,6,158.93,,,,pine,A,8,Surface,6,147.21,,,,Mixed,A,8,Buried,6,246.79,,,,Mixed,,A,10,Surface,6,,38.81
turkey oak,A,8,Buried,6,92.07,,,,turkey oak,A,8,Surface,6,93.27,,,,pine,A,8,Buried,6,81.95,,,,pine,A,7,Surface,6,95.94,,,,Mixed,A,9,Buried,6,63.42,,,,Mixed,A,8,Surface,6,84.71,,,,turkey oak,A,8,Buried,6,108.31,,,,turkey oak,A,8,Surface,6,112.41,,,,pine,A,8,Buried,6,140.78,,,,pine,A,7,Surface,6,110.43,,,,Mixed,A,9,Buried,6,78.3,,,,Mixed,A,8,Surface,6,87.11,,,,turkey oak,A,8,Buried,6,116.62,,,,turkey oak,A,9,Surface,6,37.84,,,,pine,A,8,Buried,6,156.44,,,,pine,A,9,Surface,6,112.42,,,,Mixed,A,10,Buried,6,52.24,,,,Mixed,,A,10,Surface,6,,79.79
